Entidad federativa,Sexo,Grupos quinquenales de edad,Poblaci—n de 15 a–os y m‡s,Menos que educaci—n primaria2,Educaci—n primaria3,Educaci—n secundaria baja4,Educaci—n secundaria alta5,Educaci—n terciaria de ciclo corto6,Educaci—n terciaria (Superior)7,Nivel de maestr’a o equivalente8,Nivel de doctorado o equivalente9,No especificado,PEA_Total,PEA_Ocupada,PEA_Desocupada,Poblaci—n no econ—micamente activa,No especificado
Estados Unidos Mexicanos,Total,20-24 a–os, 10 422 095,  299 348,  904 229, 3 036 652, 4 836 066,  146 252, 1 130 531,  25 099,  2 127,  41 791, 6 744 476, 6 519 215,  225 261, 3 644 065,  33 554
Estados Unidos Mexicanos,Total,25-29 a–os, 9 993 001,  370 292, 1 014 590, 3 106 394, 3 062 902,  138 245, 2 119 295,  151 865,  9 985,  19 433, 7 771 898, 7 588 540,  183 358, 2 185 874,  35 229
Estados Unidos Mexicanos,Total,30-34 a–os, 9 420 827,  500 269, 1 127 743, 3 022 372, 2 499 453,  141 204, 1 845 533,  243 693,  23 308,  17 252, 7 532 182, 7 408 794,  123 388, 1 856 358,  32 287
Estados Unidos Mexicanos,Total,35-39 a–os, 9 020 276,  699 739, 1 325 012, 2 961 405, 2 036 234,  143 408, 1 558 608,  249 525,  29 673,  16 672, 7 288 851, 7 188 620,  100 231, 1 701 275,  30 150
Estados Unidos Mexicanos,Total,40-44 a–os, 8 503 586,  881 075, 1 471 646, 2 812 720, 1 686 394,  148 391, 1 238 688,  219 549,  29 924,  15 199, 6 826 352, 6 737 699,  88 653, 1 650 597,  26 637
Estados Unidos Mexicanos,Total,45-49 a–os, 7 942 413,  930 753, 1 494 425, 2 601 405, 1 499 145,  167 058, 1 022 811,  187 101,  27 920,  11 795, 6 289 014, 6 209 253,  79 761, 1 629 576,  23 823
Estados Unidos Mexicanos,Total,50-54 a–os, 7 037 532, 1 088 646, 1 430 517, 2 031 194, 1 285 296,  154 965,  862 878,  150 857,  27 141,  6 038, 5 314 244, 5 243 891,  70 353, 1 701 589,  21 699
Estados Unidos Mexicanos,Total,55-59 a–os, 5 695 958, 1 214 325, 1 284 392, 1 306 169,  900 107,  107 434,  731 610,  122 604,  24 951,  4 366, 3 910 525, 3 853 079,  57 446, 1 765 879,  19 554
Estados Unidos Mexicanos,Total,60-64 a–os, 4 821 062, 1 347 849, 1 228 925,  866 984,  608 139,  76 060,  566 128,  100 458,  23 042,  3 477, 2 659 366, 2 622 758,  36 608, 2 141 598,  20 098
Estados Unidos Mexicanos,Total,65-69 a–os, 3 645 077, 1 348 724,  940 920,  525 297,  362 350,  51 085,  337 009,  62 355,  14 924,  2 413, 1 635 581, 1 614 155,  21 426, 1 989 968,  19 528
Estados Unidos Mexicanos,Total,70-74 a–os, 2 647 340, 1 199 056,  650 757,  302 510,  219 405,  32 547,  196 260,  36 277,  8 931,  1 597,  912 872,  902 819,  10 053, 1 714 624,  19 844
Estados Unidos Mexicanos,Total,75-79 a–os, 1 814 582,  998 120,  402 583,  154 945,  116 100,  17 692,  101 257,  17 975,  4 730,  1 180,  494 080,  489 127,  4 953, 1 302 878,  17 624
Estados Unidos Mexicanos,Total,80-84 a–os, 1 175 364,  715 674,  245 315,  80 712,  62 194,  9 479,  50 862,  7 935,  2 373,   820,  211 563,  209 603,  1 960,  949 388,  14 413
Estados Unidos Mexicanos,Total,85 a–os y m‡s, 1 039 551,  716 494,  187 060,  52 138,  40 168,  6 161,  31 156,  4 051,  1 538,   785,  107 010,  106 147,   863,  918 137,  14 404
